type_tache,complexite,type_livrable,niveau_expertise,temps_sans_copilot,copilot_utilise,temps_realisation_min,nb_iterations,score_pertinence,score_clarte,score_exactitude,score_exploitabilite,copilot_pertinent
Poser des questions en langage naturel,Élevé,Management,Intermédiaire,39.7,0,39.7,1,3.6,4.1,3.1,3.2,0
Analyser les données rapidement,Faible,Management,Intermédiaire,37.9,0,37.9,1,3.0,2.9,4.3,3.4,0
Analyser les données rapidement,Moyen,Management,Débutant,29.6,0,29.6,1,3.2,4.1,3.6,3.2,0
Poser des questions en langage naturel,Faible,Management,Débutant,22.7,1,14.8,1,3.0,3.4,4.0,4.4,1
Créer des rapports automatiquement,Faible,Opérationnel,Débutant,29.1,1,21.0,1,3.3,3.7,3.2,4.1,1
Analyser les données rapidement,Faible,Management,Intermédiaire,30.7,1,13.5,1,4.5,4.5,4.8,4.2,1
Poser des questions en langage naturel,Moyen,Management,Débutant,20.1,1,14.5,1,4.2,4.8,3.6,3.6,1
Résumer les insights,Élevé,Management,Expert,30.8,1,28.7,1,3.8,4.4,3.7,3.8,0
Poser des questions en langage naturel,Élevé,Exploratoire,Débutant,16.0,0,16.0,1,3.3,3.2,3.3,3.7,0
Poser des questions en langage naturel,Moyen,Opérationnel,Expert,16.6,0,16.6,1,3.6,3.4,3.0,3.5,0
Analyser les données rapidement,Élevé,Opérationnel,Débutant,60.3,0,60.3,1,4.1,4.0,3.9,3.0,0
Poser des questions en langage naturel,Moyen,Management,Intermédiaire,23.1,0,23.1,1,4.4,4.0,3.4,3.3,0
Analyser les données rapidement,Moyen,Opérationnel,Intermédiaire,45.6,0,45.6,1,3.1,3.4,3.9,2.9,0
Créer des rapports automatiquement,Faible,Exploratoire,Intermédiaire,29.1,1,19.2,1,4.3,3.6,4.4,4.6,1
Générer du DAX,Élevé,Management,Intermédiaire,66.8,0,66.8,1,3.1,4.0,3.3,4.1,0
Poser des questions en langage naturel,Moyen,Management,Débutant,33.8,1,18.7,2,3.9,4.5,4.2,4.0,1
Résumer les insights,Élevé,Opérationnel,Intermédiaire,31.2,0,31.2,2,3.9,3.6,3.8,4.4,0
Créer des rapports automatiquement,Moyen,Exploratoire,Débutant,43.5,1,29.1,3,4.5,3.4,3.3,4.3,1
Créer des rapports automatiquement,Moyen,Opérationnel,Intermédiaire,20.7,1,16.1,1,4.5,4.1,3.3,3.6,1
Générer du DAX,Faible,Opérationnel,Intermédiaire,56.2,1,23.1,5,3.2,3.5,3.7,2.9,0
Analyser les données rapidement,Moyen,Opérationnel,Débutant,33.1,0,33.1,2,3.3,3.3,4.5,3.7,0
Générer du DAX,Faible,Exploratoire,Intermédiaire,73.5,1,28.7,3,2.6,3.2,4.2,3.2,0
Poser des questions en langage naturel,Faible,Management,Intermédiaire,18.8,1,12.4,1,4.7,3.4,4.6,4.0,1
Générer du DAX,Faible,Opérationnel,Intermédiaire,48.8,1,17.0,1,3.8,3.0,4.4,3.5,1
Poser des questions en langage naturel,Élevé,Exploratoire,Débutant,42.7,0,42.7,1,3.2,3.5,3.1,3.2,0
Créer des rapports automatiquement,Moyen,Management,Expert,41.8,1,35.2,3,4.3,3.7,2.8,3.4,1
Résumer les insights,Moyen,Management,Intermédiaire,24.2,0,24.2,2,2.9,4.0,3.8,3.2,0
